episode,length,max_reward_10,mean_length_10,mean_reward_10,reward
2,2048,1727.2200823646017,2048.0,1727.2200823646017,1727.2200823646017
2,2048,1976.4705929030765,2048.0,1851.845337633839,1976.4705929030765
2,2048,1956.7014976601638,2048.0,1886.7973909759473,1956.7014976601638
2,2048,159.98203831572764,2048.0,1455.0935528108923,159.98203831572764
3,2048,1819.6990623102918,2048.0,1528.0146547107722,1819.6990623102918
3,2048,1880.81374811175,2048.0,1586.8145036109354,1880.81374811175
3,2048,1973.6572201303036,2048.0,1642.0777488279878,1973.6572201303036
3,2048,1980.090489903867,2048.0,1684.3293414624727,1980.090489903867
4,2048,1967.499445647232,2048.0,1715.7926863718903,1967.499445647232
4,2048,1927.0524955965138,2048.0,1736.9186672943529,1927.0524955965138
4,2048,1977.4273625892274,2048.0,1761.9393953168153,1977.4273625892274
4,2048,1977.4273625892274,2048.0,1657.3967955852775,931.0445955876983
5,2048,1977.4273625892274,2048.0,1496.928791376169,352.0214555690797
5,2048,1979.7006240598469,2048.0,1678.9006499505808,1979.7006240598469
5,2048,1979.7006240598469,2048.0,1694.708004958228,1977.7726123867635
5,2048,1979.7006240598469,2048.0,1703.6679470498595,1970.4131690280647
6,2048,1982.0721796404075,2048.0,1704.5094430008699,1982.0721796404075
6,2048,1982.0721796404075,2048.0,1680.2923780707006,1737.9198406021708
6,2048,1982.0721796404075,2048.0,1662.1487682995296,1786.0633479355226
6,2048,1982.0721796404075,2048.0,1666.9220078194344,1974.7848907955608
